CustomerID,PointsBalance,PointsExpiryDate,LastPurchaseDate,PreferredChannel,CustomerName,Email
CUST1000,1226,2025-04-06,2025-01-06,Email,Customer_0,user0@example.com
CUST1001,1559,2025-05-13,2024-12-26,Email,Customer_1,user1@example.com
CUST1002,960,2025-05-20,2024-10-22,Email,Customer_2,user2@example.com
CUST1003,1394,2025-05-19,2025-01-31,Email,Customer_3,user3@example.com
CUST1004,1230,2025-03-23,2024-12-30,Email,Customer_4,user4@example.com
CUST1005,1195,2025-04-04,2024-12-02,Email,Customer_5,user5@example.com
CUST1006,1824,2025-03-29,2024-11-08,SMS,Customer_6,user6@example.com
CUST1007,1144,2025-03-28,2025-02-13,Email,Customer_7,user7@example.com
CUST1008,1738,2025-04-22,2024-11-05,SMS,Customer_8,user8@example.com
CUST1009,221,2025-04-13,2024-11-26,Email,Customer_9,user9@example.com
CUST1010,566,2025-05-14,2024-12-25,Email,Customer_10,user10@example.com
CUST1011,1338,2025-05-11,2024-10-28,Email,Customer_11,user11@example.com
CUST1012,430,2025-03-20,2024-11-19,SMS,Customer_12,user12@example.com
CUST1013,1582,2025-03-24,2024-12-24,SMS,Customer_13,user13@example.com
CUST1014,187,2025-03-26,2024-12-29,SMS,Customer_14,user14@example.com
CUST1015,1496,2025-05-04,2025-03-01,SMS,Customer_15,user15@example.com
CUST1016,1223,2025-05-01,2024-10-13,Email,Customer_16,user16@example.com
CUST1017,971,2025-05-02,2025-02-04,SMS,Customer_17,user17@example.com
CUST1018,1787,2025-05-17,2024-10-18,Email,Customer_18,user18@example.com
CUST1019,230,2025-05-03,2024-10-08,Email,Customer_19,user19@example.com
CUST1020,1785,2025-03-30,2025-02-26,SMS,Customer_20,user20@example.com
CUST1021,1432,2025-04-18,2025-02-22,SMS,Customer_21,user21@example.com
CUST1022,869,2025-04-06,2024-10-29,SMS,Customer_22,user22@example.com
CUST1023,443,2025-04-10,2024-11-16,SMS,Customer_23,user23@example.com
CUST1024,1615,2025-04-02,2024-10-22,SMS,Customer_24,user24@example.com
CUST1025,1537,2025-03-23,2024-11-29,SMS,Customer_25,user25@example.com
